id,learner_age,level_of_education,level_of_english,level_of_literature,level_of_history,level_of_biology,level_of_physics,level_of_math,learning_goal,learning_style,user_fk_id
37,,ES,ML,LL,LL,ML,LL,ML,STL,GLB,42
26,,MT,HL,ML,ML,ML,ML,HL,LLL,SQN,27
27,,EF,HL,ML,ML,ML,ML,ML,LLL,SQN,28
28,,EM,ML,LL,LL,LL,ML,ML,STL,GLB,29
7,,MT,HL,ML,HL,LL,HL,HL,STL,GLB,7
8,,ES,HL,HL,LL,ML,ML,HL,STL,SQN,6
9,,DT,ML,ML,ML,LL,ML,ML,LLL,GLB,9
10,,ES,ML,ML,ML,ML,ML,ML,LLL,GLB,8
11,,ES,HL,ML,ML,ML,HL,HL,LLL,GLB,10
12,,MT,ML,ML,ML,ML,LL,ML,STL,GLB,11
13,,MT,ML,LL,ML,ML,ML,ML,STL,SQN,12
14,,ES,HL,ML,LL,LL,ML,HL,LLL,SQN,13
15,,ES,ML,LL,LL,LL,LL,ML,STL,SQN,14
16,,DT,HL,LL,LL,LL,LL,ML,STL,SQN,15
17,,MT,HL,ML,ML,LL,ML,HL,STL,GLB,17
18,,MT,HL,HL,HL,ML,HL,HL,LLL,GLB,18
19,,MT,ML,ML,ML,LL,ML,ML,LLL,SQN,19
20,,EF,LL,LL,LL,LL,LL,LL,STL,GLB,20
21,,MT,HL,ML,ML,ML,ML,HL,STL,GLB,21
22,,ES,ML,LL,LL,ML,ML,ML,STL,SQN,23
23,,MT,HL,LL,LL,LL,LL,ML,STL,SQN,24
24,,EF,LL,LL,LL,LL,LL,LL,STL,SQN,25
25,,MT,HL,LL,ML,ML,HL,HL,STL,GLB,26
29,,EM,HL,ML,LL,LL,ML,HL,STL,GLB,30
30,,ES,HL,HL,ML,LL,LL,HL,LLL,SQN,32
31,,ES,HL,LL,ML,LL,HL,HL,LLL,GLB,33
32,,EM,HL,ML,ML,LL,LL,HL,STL,SQN,35
33,,DT,HL,HL,LL,HL,HL,HL,STL,GLB,36
34,,ES,HL,LL,LL,LL,LL,ML,STL,SQN,37
35,,EM,HL,HL,HL,HL,HL,LL,LLL,GLB,40
36,,MT,HL,ML,ML,LL,ML,ML,LLL,GLB,41
38,,MT,HL,LL,LL,LL,ML,HL,LLL,GLB,43
39,,ES,ML,ML,ML,LL,LL,LL,STL,SQN,44
40,,EM,ML,ML,ML,ML,ML,HL,LLL,SQN,45
41,,ES,HL,ML,LL,LL,LL,HL,STL,SQN,46
42,,MT,HL,ML,LL,LL,ML,LL,STL,SQN,47
43,,ES,ML,ML,ML,LL,LL,ML,STL,SQN,48
44,,EM,HL,LL,LL,ML,ML,HL,LLL,SQN,49
45,,MT,HL,HL,HL,ML,LL,HL,LLL,SQN,50
46,,EM,ML,ML,ML,ML,HL,HL,STL,SQN,51
47,,ES,ML,ML,ML,LL,ML,ML,LLL,GLB,52
48,,MT,HL,LL,LL,LL,LL,ML,LLL,GLB,53
49,,ES,HL,ML,LL,LL,HL,HL,LLL,GLB,54
50,,MT,HL,ML,ML,LL,ML,ML,LLL,SQN,55
51,,DT,HL,ML,ML,ML,LL,HL,LLL,GLB,56
52,,MT,ML,ML,ML,LL,LL,ML,STL,SQN,58
53,,MT,ML,LL,ML,LL,ML,HL,STL,SQN,57
54,,DT,HL,HL,HL,ML,HL,HL,LLL,SQN,60
55,,DT,ML,LL,LL,LL,ML,ML,STL,SQN,59
56,,MT,ML,ML,ML,LL,LL,ML,STL,SQN,61
57,,DT,HL,LL,ML,ML,HL,HL,LLL,GLB,62
58,,DT,HL,ML,ML,ML,ML,HL,LLL,GLB,64
59,,MT,LL,ML,ML,ML,LL,LL,STL,SQN,65
60,,DT,HL,ML,ML,ML,ML,ML,LLL,GLB,66
61,,DT,LL,LL,LL,LL,LL,LL,LLL,GLB,67
62,,DT,HL,HL,ML,ML,ML,HL,STL,SQN,68
63,,DT,HL,ML,HL,ML,HL,HL,STL,SQN,69
64,,DT,ML,LL,ML,LL,ML,HL,LLL,GLB,70
65,,ES,LL,LL,LL,LL,LL,LL,LLL,SQN,71
66,,ES,ML,ML,ML,LL,LL,ML,LLL,SQN,72
67,,DT,ML,ML,LL,LL,LL,ML,LLL,GLB,73
68,,DT,ML,ML,LL,HL,LL,LL,STL,SQN,74
69,,MT,HL,HL,HL,HL,ML,HL,LLL,SQN,75
70,,DT,HL,ML,HL,ML,ML,HL,STL,SQN,76
71,,DT,ML,ML,ML,LL,LL,HL,LLL,GLB,77
72,,MT,ML,ML,ML,LL,LL,LL,LLL,GLB,78
74,,ES,ML,ML,ML,ML,ML,HL,STL,SQN,79
75,,DT,LL,LL,LL,LL,LL,LL,STL,SQN,80
76,,DT,HL,ML,ML,ML,ML,HL,LLL,GLB,82
77,,DT,ML,HL,ML,LL,LL,LL,LLL,GLB,83
78,,DT,HL,HL,HL,ML,ML,ML,LLL,SQN,84
79,,DT,HL,HL,ML,ML,ML,HL,LLL,GLB,85
80,,MT,HL,LL,LL,ML,ML,HL,STL,GLB,86
81,,DT,HL,ML,ML,ML,HL,HL,LLL,SQN,87
82,,ES,ML,HL,ML,LL,LL,LL,STL,SQN,90
83,,DT,ML,ML,HL,LL,LL,HL,LLL,SQN,91
84,,ES,HL,HL,LL,HL,LL,LL,LLL,GLB,92
85,,ES,HL,LL,ML,LL,LL,LL,LLL,GLB,93
86,,DT,HL,HL,ML,LL,ML,HL,STL,SQN,94
87,,DT,HL,LL,LL,LL,LL,ML,STL,SQN,95
88,,DT,ML,ML,ML,ML,LL,ML,STL,SQN,96
89,,DT,LL,ML,ML,LL,LL,LL,LLL,GLB,97
90,,ES,HL,LL,LL,LL,LL,LL,LLL,GLB,98
91,,DT,ML,HL,ML,ML,ML,ML,STL,GLB,99
92,,ES,LL,LL,LL,ML,LL,LL,STL,SQN,100
93,,DT,HL,LL,ML,HL,LL,LL,LLL,SQN,101
94,,DT,ML,ML,ML,HL,LL,ML,STL,SQN,102
95,,DT,LL,ML,ML,HL,LL,ML,LLL,SQN,103
96,,MT,HL,HL,ML,LL,LL,LL,LLL,SQN,104
97,,DT,ML,ML,ML,ML,ML,ML,LLL,SQN,105
98,,MT,ML,ML,ML,LL,LL,LL,STL,SQN,107
99,,MT,ML,LL,ML,ML,ML,ML,STL,SQN,106
100,,MT,ML,LL,ML,LL,LL,HL,STL,SQN,111
101,,DT,HL,ML,ML,HL,HL,HL,LLL,GLB,112
102,,ES,HL,ML,ML,ML,HL,HL,STL,SQN,113
103,,DT,HL,HL,HL,ML,ML,HL,LLL,GLB,114
104,,DT,LL,HL,HL,ML,LL,LL,LLL,GLB,115
105,,DT,ML,HL,ML,ML,LL,ML,LLL,GLB,116
106,,MT,ML,ML,LL,LL,ML,ML,STL,SQN,117
107,,MT,ML,ML,ML,LL,LL,ML,STL,SQN,118
108,,ES,ML,ML,LL,LL,LL,ML,STL,SQN,120
109,,ES,HL,ML,LL,LL,LL,LL,STL,SQN,121
110,,EM,HL,ML,ML,ML,ML,ML,LLL,GLB,123
111,,DT,HL,ML,LL,LL,ML,ML,LLL,SQN,126
112,,EF,LL,LL,LL,LL,LL,LL,STL,GLB,127
1,,DT,HL,ML,LL,LL,ML,ML,LLL,GLB,1
