id,rating,predicted_rating,context_time,movie_id,learner_id
1,5,,2017-11-27 18:02:03.302679+00,195,1
2,3,,2017-11-27 18:02:03.476649+00,4,1
4,5,,2017-11-27 18:02:03.591744+00,175,1
5,4,,2017-11-27 18:02:03.643241+00,241,1
3,2,,2017-11-27 19:35:26.62297+00,85,1
12375,2,,2017-12-07 17:06:29.960877+00,228,37
12376,4,,2017-12-07 17:06:29.990888+00,264,37
12377,1,,2017-12-07 17:06:30.028038+00,403,37
12378,5,,2017-12-07 17:06:30.049265+00,280,37
12379,3,,2017-12-07 17:06:30.063373+00,250,37
12380,1,,2017-12-07 17:06:30.081157+00,102,37
12381,2,,2017-12-07 17:06:30.092964+00,96,37
12382,4,,2017-12-07 17:06:30.125262+00,224,37
12383,3,,2017-12-07 17:06:30.161178+00,251,37
12384,5,,2017-12-07 17:06:30.189218+00,71,37
12385,5,,2017-12-07 17:06:30.220728+00,294,37
12386,4,,2017-12-07 17:06:30.245876+00,241,37
12387,2,,2017-12-07 17:06:30.269306+00,170,37
12388,4,,2017-12-07 17:06:30.328014+00,377,37
12389,4,,2017-12-07 17:06:30.388435+00,244,37
12390,2,,2017-12-07 17:06:30.445691+00,11,37
12391,3,,2017-12-07 17:06:30.478007+00,78,37
12392,3,,2017-12-07 17:06:30.514988+00,68,37
12393,3,,2017-12-07 17:06:30.561526+00,185,37
12394,1,,2017-12-07 17:06:30.596225+00,345,37
2031,4,,2017-12-04 17:44:16.135757+00,23,7
2032,5,,2017-12-04 17:44:16.149966+00,211,7
8511,2,,2017-12-07 12:28:33.495773+00,184,29
2196,5,17.120539,2017-12-04 17:48:02.099639+00,165,7
2108,4,17.106332,2017-12-04 17:48:02.10834+00,77,7
2148,3,30.759786,2017-12-04 17:48:02.072339+00,117,7
2322,3,29.352979,2017-12-04 17:48:02.091008+00,292,7
2443,1,,2017-12-04 17:51:58.471862+00,100,9
2398,5,29.953568,2017-12-04 17:48:02.082205+00,368,7
2436,5,,2017-12-04 17:51:58.380611+00,34,9
2437,1,,2017-12-04 17:51:58.394581+00,333,9
2438,4,,2017-12-04 17:51:58.40762+00,326,9
2439,4,,2017-12-04 17:51:58.420581+00,2,9
2440,1,,2017-12-04 17:51:58.433563+00,122,9
2441,1,,2017-12-04 17:51:58.446014+00,259,9
2442,1,,2017-12-04 17:51:58.459187+00,114,9
2444,1,,2017-12-04 17:51:58.48674+00,352,9
2445,2,,2017-12-04 17:51:58.500127+00,383,9
2446,3,,2017-12-04 17:51:58.512846+00,227,9
2447,1,,2017-12-04 17:51:58.525238+00,14,9
2448,1,,2017-12-04 17:51:58.537212+00,260,9
2449,5,,2017-12-04 17:51:58.549251+00,172,9
2450,1,,2017-12-04 17:51:58.56129+00,208,9
2451,5,,2017-12-04 17:51:58.573126+00,300,9
2477,5,3.547608,2017-12-04 17:57:24.522925+00,28,9
2504,5,4.148444,2017-12-04 17:57:24.549902+00,56,9
2521,5,3.853754,2017-12-04 17:57:24.55785+00,73,9
2561,5,2.620328,2017-12-04 17:58:56.866759+00,115,9
2516,1,4.090605,2017-12-04 17:57:24.566018+00,68,9
2473,5,3.868963,2017-12-04 17:58:56.892744+00,24,9
8514,2,,2017-12-07 12:28:33.537966+00,186,29
2470,5,3.547652,2017-12-04 17:57:24.514336+00,21,9
2667,5,2.556342,2017-12-04 17:58:56.876438+00,224,9
2674,5,3.33992,2017-12-04 17:57:24.541277+00,232,9
8516,2,,2017-12-07 12:28:33.563088+00,394,29
2841,5,,2017-12-04 17:57:00.37052+00,23,10
2842,5,,2017-12-04 17:57:00.383598+00,333,10
2843,5,,2017-12-04 17:57:00.396325+00,133,10
2836,4,2.680416,2017-12-04 17:57:24.50536+00,401,9
2844,4,,2017-12-04 17:57:00.409435+00,112,10
2845,3,,2017-12-04 17:57:00.422144+00,287,10
2846,3,,2017-12-04 17:57:00.434644+00,335,10
2847,3,,2017-12-04 17:57:00.447397+00,116,10
2848,5,,2017-12-04 17:57:00.460119+00,41,10
2849,4,,2017-12-04 17:57:00.473533+00,179,10
2850,4,,2017-12-04 17:57:00.487116+00,191,10
2851,4,,2017-12-04 17:57:00.499856+00,387,10
2852,2,,2017-12-04 17:57:00.512451+00,61,10
2853,4,,2017-12-04 17:57:00.524961+00,156,10
2854,4,,2017-12-04 17:57:00.537248+00,276,10
2855,3,,2017-12-04 17:57:00.549117+00,389,10
8518,3,,2017-12-07 12:28:33.607638+00,175,29
2766,5,6.491408,2017-12-04 17:57:24.531933+00,328,9
2527,5,6.775299,2017-12-04 17:58:56.856888+00,79,9
3246,4,,2017-12-04 18:00:36.596565+00,6,8
3247,2,,2017-12-04 18:00:36.60746+00,219,8
3248,3,,2017-12-04 18:00:36.617917+00,291,8
3249,2,,2017-12-04 18:00:36.629158+00,345,8
3250,5,,2017-12-04 18:00:36.642339+00,108,8
3251,1,,2017-12-04 18:00:36.655867+00,193,8
3252,2,,2017-12-04 18:00:36.667585+00,382,8
3253,3,,2017-12-04 18:00:36.6835+00,91,8
3254,4,,2017-12-04 18:00:36.694831+00,39,8
3255,3,,2017-12-04 18:00:36.705206+00,78,8
3256,2,,2017-12-04 18:00:36.715983+00,66,8
3257,2,,2017-12-04 18:00:36.726438+00,168,8
3258,1,,2017-12-04 18:00:36.736703+00,226,8
3259,2,,2017-12-04 18:00:36.747654+00,47,8
3260,3,,2017-12-04 18:00:36.759212+00,82,8
3261,2,,2017-12-04 18:00:36.769564+00,250,8
3262,4,,2017-12-04 18:00:36.779962+00,172,8
3263,3,,2017-12-04 18:00:36.790566+00,153,8
3264,2,,2017-12-04 18:00:36.801124+00,150,8
3265,3,,2017-12-04 18:00:36.812389+00,216,8
3293,1,5.169283,2017-12-04 18:10:53.681755+00,29,8
3310,2,6.00582,2017-12-04 18:10:53.482189+00,48,8
3294,5,5.819154,2017-12-04 18:10:53.500354+00,30,8
3327,2,3.322378,2017-12-04 18:10:53.433671+00,65,8
3423,5,4.009716,2017-12-04 18:10:53.558034+00,169,8
3433,1,4.556026,2017-12-04 18:10:53.577099+00,180,8
3435,3,6.244313,2017-12-04 18:10:53.658261+00,182,8
8520,4,,2017-12-07 12:28:33.665936+00,166,29
3405,5,4.612134,2017-12-04 18:10:53.411475+00,148,8
3602,2,5.618567,2017-12-04 18:10:53.593745+00,356,8
3543,5,5.295517,2017-12-04 18:10:53.464995+00,296,8
3596,4,5.151796,2017-12-04 18:10:53.51879+00,350,8
3553,3,6.28399,2017-12-04 18:10:53.71793+00,306,8
3547,3,3.962495,2017-12-04 18:10:53.734442+00,300,8
8521,1,,2017-12-07 12:28:33.689527+00,388,29
3481,3,5.3716,2017-12-04 18:10:53.537884+00,232,8
3548,4,5.277642,2017-12-04 18:10:53.701766+00,301,8
3499,5,2.618959,2017-12-04 18:10:53.393468+00,251,8
3666,5,5.305854,2017-12-04 18:48:25.03939+00,3,11
3305,3,5.282578,2017-12-04 18:10:53.448542+00,42,8
3603,5,5.018288,2017-12-04 18:10:53.612104+00,357,8
3605,4,4.617245,2017-12-04 18:10:53.631685+00,359,8
3555,4,6.631978,2017-12-04 18:10:53.709896+00,308,8
3429,3,4.227933,2017-12-04 18:10:53.725968+00,176,8
3651,5,,2017-12-04 18:30:47.877528+00,334,11
3652,5,,2017-12-04 18:30:47.897629+00,30,11
3653,3,,2017-12-04 18:30:47.91054+00,250,11
3654,1,,2017-12-04 18:30:47.925605+00,244,11
3655,4,,2017-12-04 18:30:47.93831+00,245,11
3656,4,,2017-12-04 18:30:47.951421+00,115,11
3657,4,,2017-12-04 18:30:47.965782+00,85,11
3658,4,,2017-12-04 18:30:47.978673+00,84,11
3659,4,,2017-12-04 18:30:47.991292+00,43,11
3660,5,,2017-12-04 18:30:48.011503+00,80,11
3661,3,,2017-12-04 18:30:48.02608+00,157,11
3662,4,,2017-12-04 18:30:48.039933+00,283,11
3663,4,,2017-12-04 18:30:48.05397+00,364,11
3709,5,5.450635,2017-12-04 18:48:25.084882+00,48,11
3664,5,4.554381,2017-12-04 18:48:25.050194+00,1,11
3719,5,3.748985,2017-12-04 18:48:25.270361+00,58,11
3692,2,3.051395,2017-12-04 18:48:25.294799+00,29,11
8522,4,,2017-12-07 12:28:33.707362+00,7,29
3679,5,5.565919,2017-12-04 18:48:25.253858+00,16,11
3696,3,1.541914,2017-12-04 18:48:25.100598+00,34,11
3848,4,9.780718,2017-12-04 18:48:25.306291+00,192,11
