,id,rating,predicted_rating,context_time,movie_id,learner_id,movie_knowledge_area,level_of_education,level_of_english,level_of_literature,level_of_history,level_of_biology,level_of_physics,level_of_math,learning_goal,learning_style
0,1,5,,2017-11-27 18:02:03.302679+00,195,1,,DT,HL,ML,LL,LL,ML,ML,LLL,GLB
1,2,3,,2017-11-27 18:02:03.476649+00,4,1,HT,DT,HL,ML,LL,LL,ML,ML,LLL,GLB
2,4,5,,2017-11-27 18:02:03.591744+00,175,1,LT,DT,HL,ML,LL,LL,ML,ML,LLL,GLB
3,5,4,,2017-11-27 18:02:03.643241+00,241,1,,DT,HL,ML,LL,LL,ML,ML,LLL,GLB
4,3,2,,2017-11-27 19:35:26.62297+00,85,1,BL,DT,HL,ML,LL,LL,ML,ML,LLL,GLB
5,12375,2,,2017-12-07 17:06:29.960877+00,228,37,LT,ES,ML,LL,LL,ML,LL,ML,STL,GLB
6,12376,4,,2017-12-07 17:06:29.990888+00,264,37,BL,ES,ML,LL,LL,ML,LL,ML,STL,GLB
7,12377,1,,2017-12-07 17:06:30.028038+00,403,37,PH,ES,ML,LL,LL,ML,LL,ML,STL,GLB
8,12378,5,,2017-12-07 17:06:30.049265+00,280,37,PH,ES,ML,LL,LL,ML,LL,ML,STL,GLB
9,12379,3,,2017-12-07 17:06:30.063373+00,250,37,,ES,ML,LL,LL,ML,LL,ML,STL,GLB
10,12380,1,,2017-12-07 17:06:30.081157+00,102,37,LT,ES,ML,LL,LL,ML,LL,ML,STL,GLB
11,12381,2,,2017-12-07 17:06:30.092964+00,96,37,,ES,ML,LL,LL,ML,LL,ML,STL,GLB
12,12382,4,,2017-12-07 17:06:30.125262+00,224,37,BL,ES,ML,LL,LL,ML,LL,ML,STL,GLB
13,12383,3,,2017-12-07 17:06:30.161178+00,251,37,,ES,ML,LL,LL,ML,LL,ML,STL,GLB
14,12384,5,,2017-12-07 17:06:30.189218+00,71,37,EN,ES,ML,LL,LL,ML,LL,ML,STL,GLB
15,12385,5,,2017-12-07 17:06:30.220728+00,294,37,LT,ES,ML,LL,LL,ML,LL,ML,STL,GLB
16,12386,4,,2017-12-07 17:06:30.245876+00,241,37,,ES,ML,LL,LL,ML,LL,ML,STL,GLB
17,12387,2,,2017-12-07 17:06:30.269306+00,170,37,,ES,ML,LL,LL,ML,LL,ML,STL,GLB
18,12388,4,,2017-12-07 17:06:30.328014+00,377,37,,ES,ML,LL,LL,ML,LL,ML,STL,GLB
19,12389,4,,2017-12-07 17:06:30.388435+00,244,37,,ES,ML,LL,LL,ML,LL,ML,STL,GLB
20,12390,2,,2017-12-07 17:06:30.445691+00,11,37,LT,ES,ML,LL,LL,ML,LL,ML,STL,GLB
21,12391,3,,2017-12-07 17:06:30.478007+00,78,37,,ES,ML,LL,LL,ML,LL,ML,STL,GLB
22,12392,3,,2017-12-07 17:06:30.514988+00,68,37,,ES,ML,LL,LL,ML,LL,ML,STL,GLB
23,12393,3,,2017-12-07 17:06:30.561526+00,185,37,HT,ES,ML,LL,LL,ML,LL,ML,STL,GLB
24,12394,1,,2017-12-07 17:06:30.596225+00,345,37,HT,ES,ML,LL,LL,ML,LL,ML,STL,GLB
25,2031,4,,2017-12-04 17:44:16.135757+00,23,7,BL,MT,HL,ML,HL,LL,HL,HL,STL,GLB
26,2032,5,,2017-12-04 17:44:16.149966+00,211,7,HT,MT,HL,ML,HL,LL,HL,HL,STL,GLB
27,8511,2,,2017-12-07 12:28:33.495773+00,184,29,,EM,HL,ML,LL,LL,ML,HL,STL,GLB
28,2196,5,17.120539,2017-12-04 17:48:02.099639+00,165,7,HT,MT,HL,ML,HL,LL,HL,HL,STL,GLB
29,2108,4,17.106332000000002,2017-12-04 17:48:02.10834+00,77,7,LT,MT,HL,ML,HL,LL,HL,HL,STL,GLB
30,2148,3,30.759786,2017-12-04 17:48:02.072339+00,117,7,,MT,HL,ML,HL,LL,HL,HL,STL,GLB
31,2322,3,29.352978999999998,2017-12-04 17:48:02.091008+00,292,7,LT,MT,HL,ML,HL,LL,HL,HL,STL,GLB
32,2443,1,,2017-12-04 17:51:58.471862+00,100,9,LT,DT,ML,ML,ML,LL,ML,ML,LLL,GLB
33,2398,5,29.953568,2017-12-04 17:48:02.082205+00,368,7,HT,MT,HL,ML,HL,LL,HL,HL,STL,GLB
34,2436,5,,2017-12-04 17:51:58.380611+00,34,9,PH,DT,ML,ML,ML,LL,ML,ML,LLL,GLB
35,2437,1,,2017-12-04 17:51:58.394581+00,333,9,,DT,ML,ML,ML,LL,ML,ML,LLL,GLB
36,2438,4,,2017-12-04 17:51:58.40762+00,326,9,,DT,ML,ML,ML,LL,ML,ML,LLL,GLB
37,2439,4,,2017-12-04 17:51:58.420581+00,2,9,LT,DT,ML,ML,ML,LL,ML,ML,LLL,GLB
38,2440,1,,2017-12-04 17:51:58.433563+00,122,9,,DT,ML,ML,ML,LL,ML,ML,LLL,GLB
39,2441,1,,2017-12-04 17:51:58.446014+00,259,9,BL,DT,ML,ML,ML,LL,ML,ML,LLL,GLB
40,2442,1,,2017-12-04 17:51:58.459187+00,114,9,,DT,ML,ML,ML,LL,ML,ML,LLL,GLB
41,2444,1,,2017-12-04 17:51:58.48674+00,352,9,,DT,ML,ML,ML,LL,ML,ML,LLL,GLB
42,2445,2,,2017-12-04 17:51:58.500127+00,383,9,,DT,ML,ML,ML,LL,ML,ML,LLL,GLB
43,2446,3,,2017-12-04 17:51:58.512846+00,227,9,HT,DT,ML,ML,ML,LL,ML,ML,LLL,GLB
44,2447,1,,2017-12-04 17:51:58.525238+00,14,9,HT,DT,ML,ML,ML,LL,ML,ML,LLL,GLB
45,2448,1,,2017-12-04 17:51:58.537212+00,260,9,BL,DT,ML,ML,ML,LL,ML,ML,LLL,GLB
46,2449,5,,2017-12-04 17:51:58.549251+00,172,9,LT,DT,ML,ML,ML,LL,ML,ML,LLL,GLB
47,2450,1,,2017-12-04 17:51:58.56129+00,208,9,,DT,ML,ML,ML,LL,ML,ML,LLL,GLB
48,2451,5,,2017-12-04 17:51:58.573126+00,300,9,PH,DT,ML,ML,ML,LL,ML,ML,LLL,GLB
49,2477,5,3.5476080000000003,2017-12-04 17:57:24.522925+00,28,9,LT,DT,ML,ML,ML,LL,ML,ML,LLL,GLB
50,2504,5,4.1484440000000005,2017-12-04 17:57:24.549902+00,56,9,LT,DT,ML,ML,ML,LL,ML,ML,LLL,GLB
