id,movie_name,movie_description,movie_pic,movie_knowledge_area,movie_recommended_age,benefits,objectives,problems,rationale
4,1776,"This improbable but charming musical is based on the debates in the Second Continental Congress over whether to declare independence from Britain. The dialogue includes statements made in the delegates' speeches or in their writings. The script closely follows the Tony award-winning play. Benefits of the Movie: With a few corrections, ""1776"" provides a sense of what occurred as the Continental Congress struggled with the momentous question of separation from Britain. It also introduces John Adams, Thomas Jefferson, and Benjamin Franklin.",pics/1776-DVDcover.jpg,HT,11,"With a few corrections, ""1776"" provides a sense of what occurred as the Continental Congress struggled with the momentous question of separation from Britain. It also introduces John Adams, Thomas Jefferson, and Benjamin Franklin.",nan,"MINOR. One major historical inaccuracy in this movie should be explained. The rebels' military position and the morale of General Washington and the troops are portrayed as being very poor at the time independence was declared. This is incorrect. Before the Declaration of Independence, General Washington and the Continental Congress were optimistic about their military situation. The British Army had been driven from Boston. The rebels were busily fortifying New York against an expected British invasion. Washington had 23,000 troops and thought they could stand against the British. Of course, there were long periods when the rebels were despondent about the military situation, but this did not begin until the British routed Washington's Army at the Battle of Long Island, some seven weeks after the Declaration of Independence was signed. It doesn't make sense that the Congress would issue a Declaration of Independence unless it felt that the rebels could win. There are other distortions of the historical record which the writers obviously felt necessary to keep their audience entertained. After all, this is a musical comedy. While Franklin had his racy side, his anger at the British government and the seriousness with which he backed independence is underplayed. Martha Jefferson did not come to Philadelphia during the convention and her husband was deeply worried about her health. Most of the minor characters shown in the film as buffoons or twits were actually serious men who helped to change the world by risking their lives to create the first modern republic. Why recommend this film despite all of these inaccuracies? Because there is so much that it gets right: the resoluteness of Adams; the eloquent writing of Jefferson; the commanding presence of Franklin; the political maneuvering; and the bitter debate between North and South over slavery. All of these come through clearly. There are a few slightly off-color jokes. For example, Benjamin Franklin, referring to Jefferson, who is closeted with his recently-arrived wife and who had courted her with a violin, remarks, ""God Bless a man who can fiddle."" There are also a few jokes about the need to administer saltpeter to the troops. Parenting Points:     Should your child in either late elementary school or middle school be studying the American Revolution, suggest this film. It is a musical and will hold his or her attention as it presents an interesting way to look at this important period in history. Although you will not want to interject information while the movie is playing, at some other time you should talk about the film's one major historical error which is described in the Possible Problems"" section. While driving or in another moment unrelated to the experience of watching the film, talk to your child about Washington, Franklin, Jefferson, and Adams, some of the most remarkable men this country has produced.",nan
2,12 Years a Slave,"Description: This movie is a cinematic representation of the best selling slave narrative of Solomon Northup, a free black man living in upstate New York who was kidnapped in 1841 and sold into slavery. The film shows the life of a slave in the American South primarily on two plantations: one governed by a relatively benevolent master and the other subject to a brutal tyrant. They also expose the particularly hard lot of slave women and the operation of the slave trade. The movie is an excellent resource for 12th grade and college classes in U.S. History and for ELA units on the slave narrative genre.",pics/12-years-a-slave-dvd-cover.jpg,LT,15,nan,"Objectives/Student Outcomes Using this Learning Guide: Students will have a vivid understanding of the lives endured by slaves in the American South. Students will be introduced to slavery as a world-wide phenomenon that has existed for millennia and which continues to exist. Students will be introduced to the slave narrative, the first genre of African-American literature.",nan,"Rationale: It is important for students to understand the brutality and thoroughness of slavery as practiced in the American South and which was eradicated only a brutal and bloody civil war. It is also helpful for students to understand the world-wide dimensions of slavery, the current status of slavery, and to read at least parts of a slave narrative, the first genre of African-American literature."
21,Anne Frank,nan,pics/AF-whole-story-DVDcover.jpg,HT,12,"Each of these films will supplement and confirm the benefits of reading the book, Anne Frank: the Diary of a Young Girl.",nan,"Except for ""The Diary of Anne Frank,"" the films contain disturbing photographs of people who were imprisoned or died in the concentration camps, mass graves, etc. Unfortunately, in a world which suffered through the 20th century, such images should be shown to all children at one point or another. ""Anne Frank, the Whole Story"" also contains dramatic recreations of scenes of women being stripped of their clothing while being processed at Auschwitz and camp inmates suffering from illness, starvation, exposure etc. There is one scene of full frontal nudity of the actress playing Anne's mother. These are, as they should be, deeply upsetting. We suggest this film only for ages fourteen and older. Parenting Points:     If your child is reading Anne Frank: The Diary of a Young Girl, studying the Holocaust, or learning about WWII, watch any of these films as a family. Tell your kids that there are two reasons the Diary is so popular. First, the story of Anne Frank tugs at our heart strings. Second, the Diary is an excellent description of a young person struggling with many of the issues of adolescence. Anne's wise approach to growing up is still valid today. Ask and answer the Quick Discussion Question or any of the other Discussion Questions. Families can also watch ""Anne Frank: the Whole Story"" at any time.",nan
277,On The Waterfront,"This movie is about organized crime's penetration of a longshoreman's union in New York during the 1950s. Several men break the community's code of silence to stand up to the gangsters and expose the murder of a friend. The script was adapted from ""Crime on the Waterfront,"" a Pulitzer prize winning newspaper expose written by Terry Malcom and published in the New York Sun. Benefits: ""On the Waterfront"" provides an introduction to the problems of corruption in labor unions and the need for courageous individuals to stand up to corrupt union bosses. Marlon Brando's portrayal of Terry is considered by actors to be a classic demonstration of ""method"" acting. Possible Problems: MODERATE. There are several killings by gun and bloody fist fights. However, the purpose of these incidents is to advance the story, not to thrill the audience. Alcohol use and abuse are shown.",pics/on-the-waterfront-DVDcover.jpg,,12,"""On the Waterfront"" provides an introduction to the problems of corruption in labor unions and the need for courageous individuals to stand up to corrupt union bosses. Marlon Brando's portrayal of Terry is considered by actors to be a classic demonstration of ""method"" acting.",nan,"MODERATE. There are several killings by gun and bloody fist fights. However, the purpose of these incidents is to advance the story, not to thrill the audience. Alcohol use and abuse are shown.",nan
13,All the President's Men,This movie describes how two young reporters from the Washington Post broke and pursued the story of the Watergate scandal (1972 - 1975).,pics/all-the-presidents-men-DVD-cover.jpg,HT,12,nan,"Students will learn about the Watergate Scandal and its many implications through the Handout, the movie, the discussion questions and the assignments.","MODERATE. The movie contains a substantial amount of profanity, with the ""F"" word used frequently. Bernstein & Woodward -- as portrayed in the movie Benrstein -- the Reporters",
8,The Adventures of Robin Hood,This is the best film version of the Robin Hood legend.,pics/adventures-of-robin-hood-DVDcover.jpg,LT,8,"The Robin Hood legend, as shown in this movie, tells the story of the reconciliation between the Saxon people and the Normans who had conquered England in 1066. It was this reconciliation which created the English people as we know them today.",nan,"MINOR. Robin's arrows always seem to strike his opponents in the heart, and they die then and there without blood, which is exactly the way that children play at war, cops and robbers, etc. There is a little graphic violence when a Saxon is struck in the head. There is a potentially disturbing scene in which a little girl pleads for her father's life.",nan
6,Abraham and Mary Lincoln: A House Divided,"This PBS documentary describes the life of Abraham Lincoln and Mary, his wife, from birth to death. The films are suitable for those who know little about Abraham and Mary Lincoln and also for those who are fairly knowledgeable about our 16th President and his wife.",pics/Abraham-and-mary-lincoln-DVD-cover.jpg,HT,10,"""Abraham and Mary Lincoln: A House Divided"" is not limited to political events and the history of the period, but also presents information about the background, personalities, and family life of Mary and Abraham Lincoln. It provides a rounded picture of this famous and star-crossed couple. Possible Problems:     None. Parenting Points:     ""Abraham & Mary Lincoln: A House Divided"" is excellent for viewing with a child in middle school or high school who is studying the Civil War. This documentary shows the human side of Abraham and Mary Lincoln. After seeing the film, share with your child Walt Whitman's poem, Oh Captain! My Captain! It is important that children understand the sentiment Whitman presents in his poem. It is also important that they understand how poetry illustrates feelings that otherwise are difficult to express and that they share the beauty of poetry with their parents.",nan,None.,nan
9,The African Queen,"The scene is Africa at the beginning of the First World War. A jack-of-all-trades boat operator of questionable reputation rescues a spinster missionary. Her brother, the only other missionary in the village, has died. Together the spinster and the boat operator undertake a hazardous but spectacular river journey and find their dream.",pics/african-queen-DVDcover.jpg,HT,10,"While the film has long been regarded as a classic romance, it can also be used to teach children about technological innovation, the steam engine, the history of WWI in Africa, and the lakes of Africa. Charlie, the boat operator, solves many engineering problems to get his skiff down the river. He performs more engineering marvels to sink the German warship. Rose, the spinster missionary, is a role model for a determined woman. Both Rose and Charlie change their lives and rise to the occasion. This movie examines the relationship between two very different people and how a common goal leads them to understand, and love, one another. Possible Problems:    There is a brief scene of many black men fighting like children over a cigar dropped by the engineer. Alcohol abuse and smoking are shown with only a little negative comment. Parenting Points:     The African Queen is best shown to high school students who have an interest in classic film. Tell your child to note the images of Africans presented in the film and ask them how they think African Americans would feel about these characterizations and how film may illustrate tribal people today.",nan,There is a brief scene of many black men fighting like children over a cigar dropped by the engineer. Alcohol abuse and smoking are shown with only a little negative comment. Parenting Points:     The African Queen is best shown to high school students who have an interest in classic film. Tell your child to note the images of Africans presented in the film and ask them how they think African Americans would feel about these characterizations and how film may illustrate tribal people today.,nan
10,"Ancient Alexandria, Hypatia, and the Decline of Greco-Roman Civilization — using the Film Agora","Description: The first 78 minutes of the film (until the view of the Earth after the pogrom) present a reasonable, if sometimes flawed, presentation of the topics described in the note.",,,,nan,nan,"Possible Problems: This film has been incorrectly criticized as being anti-Christian. Actually, the movie is against intolerant fundamentalism — that of the Pagans who started the fight that led to the destruction of the Serapeum, as well as Cyril's bitter approach to communal relations which, according to some historians, ""fomented the pervading atmosphere of hostility which led to Hypatia's death."" The movie was screened by the Vatican before it was released, and the Catholic Church made no objection. TWM agrees with the statement that ""[Agora] is not against Christians and most certainly not against the Christians of today."" Both quotations from World Catholic Association for Communication — SIGNIS Statement: Agora, April 18, 2010. The first 78 minutes of the Movie: On one occasion the actress playing Hypatia is seen fully nude from the back with a fleeting partial view of one of her breasts as she exits a bath. Later in the film, her clothed breast is groped for a moment by a rebellious slave who is in love with her. He immediately repents and begs her forgiveness. An actress portraying a young Jewish girl is shown for a second losing her clothing in the scene of the pogrom. There is some violent close quarters combat between Pagans and Christians which is shown to be painful, however, the R rating for violence is undeserved given what is now rated as PG-13. The Remainder of the Film: If the entire film is used, in addition to the historical inaccuracies, there is one additional scene in which the actress playing Hypatia is again shown fully nude from the rear just before she is strangled by Davus in an act of mercy.","Rationale for Using the Movie: Properly introduced, scaffolded and corrected, the film provides a vivid picture of the topics described in the Note above. This knowledge is essential to an understanding of the arc of the history of the West. The movie and the comparison with the historical record can also provide an excellent opportunity for the study of historical fiction, the changes in attitudes toward gender in Western Civilization, and the dangers of intolerance and communal strife."
279,The Ox-Bow Incident,"It's 1865 and a frontier town in Nevada is rocked by the news that a respected rancher has been murdered. The sheriff is out of town. Impatient townspeople form a posse. Three strangers are soon found herding cattle marked with the brand belonging to the rancher. They claim they bought the cattle, but there is no bill of sale. One of the strangers has the rancher's gun. He tells the posse that he bought it from the rancher, but again, there is no evidence of this. Most of the posse wants to string the strangers up immediately. A few argue that the posse should wait and turn the strangers over to the sheriff. What will the posse do? The film is based on the novel of the same name by Walter Van Tilburg Clark. Benefits of the Movie: This film conveys powerful lessons in justice, conformity, masculine role identity, guilt and the results of mob rule. For English Language Arts classes, it offers an opportunity to help students derive theme from a work of fiction. See particularly the ELA Discussion Questions and An Exercise in Creating Thematic Statements. It also provides an opportunity for writing assignments. For Social Studies and Civics classes the movie provides a visceral lesson in the meaning and importance of due process. This Learning Guide provides a summary of important elements of due process in criminal matters, Social Studies and Civics Discussion Questions and Writing Assignments.",pics/ox-bow-incident-DVDcover.jpg,,12,"This film conveys powerful lessons in justice, conformity, masculine role identity, guilt and the results of mob rule.",nan,"MINOR. The characters in the film condone drinking lots of whiskey and fighting. One of the men to be hanged derides the posse for its haste and unwillingness to be fair with the epithet that they are not ""white men."" Equating lynching with blacks is a backhanded, but ironic, racial slur. At the end of the film, the leader of the posse goes into a room off-camera. We hear the sound of a gunshot as he commits suicide. Each of these issues can lead to an interesting discussion. See Discussion Questions below. Parenting Points:     Immediately after the movie, or at odd times over the next week (for example at the dinner table or in the car on the way to school) bring up the subject of the movie and comment that justice is one of the most basic human rights. Without justice, there is no reason to obey any of the rules of society. You may also want to bring up some of the Discussion Questions. Don't worry if you can only get through a few questions. Just taking the film seriously and discussing it is the key. If your child is reading the book or watching the movie in school, there is great benefit in watching the movie with your child after the assignment has been completed and discussing the themes of the film. It might also be a good to read the excerpt from Martin's letter to his wife set out in the ELA - Writing Assignment #1.",nan
16,An American Tail,nan,pics/an-american-tail-DVDcover.jpg,HT,9,"""An American Tail"" introduces the concept of immigration and some of the difficulties that immigrants face in a new land. For the millions of children whose families trace their origin to Eastern Europe, the film can serve as an introduction to their own heritage.",nan,None.,nan
